Item_Retry,Normalized_MAD_median,Normalized_MAD_mean,Normalized_MAD_std,Normalized_MAD_IQR
time_1,0.1198065857536209,0.17624849838585122,0.15746058948851455,0.2109104161544625
time_2,0.2101120267288716,0.23071974898627348,0.2236790264296341,0.2569592506212008
time_3,0.2324388509860835,0.21480496061834736,0.20543406453176818,0.27297563647734024
time_4,0.2165256796470581,0.205249282461026,0.17403678998915212,0.23104890160517805
time_5,0.0639340274583118,0.1809989127011362,0.18622035582617344,0.28845468679212594
weights_1,0.1529663279092913,0.4104136727742173,0.415640434211547,0.4577480036516254
weights_2,0.142369665239382,0.29570317409981034,0.2760686597871288,0.3503134388386261
weights_3,0.17405069912054,0.2459170688129926,0.20113196123297206,0.3574272468131467
weights_4,0.1493895764310533,0.19902698068116445,0.1786058464717828,0.2617260915114226
weights_5,0.1775658410625684,0.21340672784006004,0.181693930097079,0.2712420496517908
