item_name,rank_median_execution_time_median,median_execution_time_median,rank_median_execution_time_mean,median_execution_time_mean,rank_median_execution_time_std,median_execution_time_std,rank_median_execution_time_IQR,median_execution_time_IQR
perf_cpu_clock_2,64.0,9.367909987573512,63.90909090909091,10.978211793572303,4.548726095392982,4.718871195073604,7.0,4.7987535816500895
perf_cpu_clock_3,65.0,8.891989013529383,59.54545454545455,8.751980750260621,12.762159976772242,3.807450700606217,13.5,3.856172904081175
perf_cpu_clock_4,64.0,9.191150960046798,63.90909090909091,10.002499391409485,2.9817627489304197,4.485945249132583,3.0,3.8093907617148943
perf_cpu_clock_5,64.0,9.319204272935169,61.45454545454545,10.875498751019636,7.992041495933769,5.961074891370601,7.0,4.183108125580475
perf_cycles_1,13.0,4.4447214675019495,16.90909090909091,4.62825294109445,13.859686471594841,2.5153701386854093,19.0,4.250829190516015
perf_cycles_2,20.0,6.116956592988572,23.90909090909091,5.791263652821561,12.89538324715125,2.4421251169647076,18.0,2.776728395732789
perf_cycles_3,16.0,5.255126150004799,25.0,5.736276675045949,19.493588689617926,2.561865970751609,31.0,2.7885882977388974
perf_cycles_4,32.0,6.594224280968774,27.09090909090909,6.380178247536109,12.573420739437182,3.428046389106882,21.0,3.8553872722841334
perf_cycles_5,20.0,5.099855524997111,24.545454545454547,4.8791609956503885,17.54630238177626,2.430256900235971,28.5,4.100789494006676
perf_faults_1,44.0,5.897672020015307,37.27272727272727,7.765338285286403,24.41348360677316,6.744472853539631,40.0,5.220554714323953
perf_faults_2,49.0,7.1249005805002525,46.27272727272727,7.360292201763844,15.608272864676021,3.765481570987917,16.0,4.68422234695754
perf_faults_3,59.0,7.239580761524849,45.72727272727273,7.067382866474376,22.213018295994395,3.899176871095678,39.0,5.22135501971934
perf_faults_4,59.0,7.552845899946988,54.72727272727273,8.463792288654737,16.05671765393481,5.210198290865186,15.5,5.446755450218916
perf_faults_5,54.0,7.048876163549721,48.90909090909091,7.537059785110284,18.726743152265136,4.923668579815486,28.5,4.840302334050648
perf_instructions_1,19.0,5.738333237590268,25.181818181818183,5.7733732421263335,16.53975925954294,3.606743354242947,22.5,4.635395665260148
perf_instructions_2,29.0,6.046467950567603,30.181818181818183,6.079067793939347,9.064415941671939,3.034767963458446,12.5,2.7120117120211944
