item_name,number_of_steps,number_of_retries,percentage_decrease
perf_branches,78,5,60.80402010050251
perf_branch_misses,222,1,0
perf_branch_misses,149,2,32.88288288288289
perf_branch_misses,95,3,57.20720720720721
perf_branch_misses,96,4,56.75675675675676
perf_branch_misses,57,5,74.32432432432432
perf_cpu_clock,202,1,0
perf_cpu_clock,153,2,24.257425742574256
perf_cpu_clock,77,3,61.88118811881188
perf_cpu_clock,98,4,51.48514851485149
perf_cpu_clock,48,5,76.23762376237624
perf_task_clock,139,1,0
perf_task_clock,117,2,15.827338129496402
perf_task_clock,77,3,44.60431654676259
perf_task_clock,69,4,50.35971223021583
perf_task_clock,69,5,50.35971223021583
perf_faults,189,1,0
perf_faults,140,2,25.925925925925924
perf_faults,110,3,41.7989417989418
perf_faults,77,4,59.25925925925925
perf_faults,53,5,71.95767195767195
weights,306,1,0
weights,108,3,64.70588235294117
weights,68,5,77.77777777777779
weights,135,2,55.88235294117647
weights,70,4,77.12418300653596
energy,224,1,0
energy,101,2,54.91071428571429
energy,78,3,65.17857142857143
energy,58,4,74.10714285714286
energy,68,5,69.64285714285714
perf_L1_dcache_loads,213,1,0
perf_L1_dcache_loads,159,2,25.352112676056336
perf_L1_dcache_loads,101,3,52.58215962441315
perf_L1_dcache_loads,82,4,61.502347417840376
perf_L1_dcache_loads,56,5,73.70892018779342
time,197,1,0
time,147,2,25.380710659898476
time,89,3,54.82233502538071
time,70,4,64.46700507614213
time,55,5,72.08121827411168
perf_time,215,1,0
perf_time,132,2,38.604651162790695
perf_time,78,3,63.72093023255814
perf_time,71,4,66.97674418604652
perf_time,62,5,71.16279069767441
perf_instructions,228,1,0
perf_instructions,127,2,44.29824561403509
perf_instructions,89,3,60.96491228070175
perf_instructions,77,4,66.22807017543859
perf_instructions,57,5,75.0
perf_cycles,174,1,0
perf_cycles,130,2,25.287356321839084
perf_cycles,92,3,47.12643678160919
perf_cycles,80,4,54.02298850574713
perf_cycles,69,5,60.3448275862069
perf_cache_references,187,1,0
perf_cache_references,111,2,40.64171122994652
perf_cache_references,88,3,52.94117647058824
perf_cache_references,70,4,62.56684491978609
perf_cache_references,59,5,68.44919786096256
perf_cache_misses,247,1,0
perf_cache_misses,129,2,47.77327935222672
perf_cache_misses,90,3,63.56275303643725
perf_cache_misses,66,4,73.27935222672065
perf_cache_misses,65,5,73.68421052631578
perf_branches,229,1,0
perf_branches,129,2,43.66812227074236
perf_branches,92,3,59.82532751091703
perf_branches,77,4,66.37554585152839
perf_branches,60,5,73.7991266375546
perf_branch_misses,232,1,0
perf_branch_misses,111,2,52.1551724137931
perf_branch_misses,97,3,58.189655172413794
perf_branch_misses,66,4,71.55172413793103
perf_branch_misses,59,5,74.56896551724138
perf_cpu_clock,211,1,0
perf_cpu_clock,131,2,37.91469194312796
perf_cpu_clock,94,3,55.45023696682464
perf_cpu_clock,74,4,64.92890995260665
perf_cpu_clock,62,5,70.61611374407583
perf_task_clock,237,1,0
perf_task_clock,133,2,43.88185654008439
perf_task_clock,95,3,59.91561181434599
perf_task_clock,91,4,61.60337552742617
perf_task_clock,61,5,74.26160337552743
perf_faults,251,1,0
perf_faults,133,2,47.01195219123506
perf_faults,90,3,64.14342629482071
perf_faults,74,4,70.5179282868526
perf_faults,62,5,75.2988047808765
weights,26,2,3.7037037037037033
weights,16,4,40.74074074074074
weights,27,1,0
weights,7,3,74.07407407407408
weights,6,5,77.77777777777779
energy,81,1,0
energy,68,2,16.049382716049383
energy,43,3,46.913580246913575
energy,34,4,58.0246913580247
energy,26,5,67.90123456790124
perf_L1_dcache_loads,253,1,0
perf_L1_dcache_loads,132,2,47.82608695652174
perf_L1_dcache_loads,96,3,62.055335968379445
perf_L1_dcache_loads,74,4,70.7509881422925
perf_L1_dcache_loads,58,5,77.07509881422925
time,907,1,0
time,439,2,51.598676957001096
time,263,3,71.00330760749725
time,164,4,81.91841234840133
time,153,5,83.13120176405732
perf_time,1000,1,0
perf_time,424,2,57.599999999999994
perf_time,258,3,74.2
perf_time,172,4,82.8
perf_time,137,5,86.3
perf_instructions,738,1,0
perf_instructions,363,2,50.81300813008131
perf_instructions,254,3,65.58265582655827
perf_instructions,172,4,76.69376693766937
perf_instructions,112,5,84.82384823848238
perf_cycles,795,1,0
perf_cycles,407,2,48.80503144654088
perf_cycles,235,3,70.44025157232704
perf_cycles,167,4,78.9937106918239
perf_cycles,142,5,82.13836477987422
perf_cache_references,997,1,0
perf_cache_references,413,2,58.575727181544636
perf_cache_references,247,3,75.22567703109327
perf_cache_references,225,4,77.43229689067202
perf_cache_references,155,5,84.45336008024073
perf_cache_misses,1000,1,0
perf_cache_misses,437,2,56.3
perf_cache_misses,313,3,68.7
perf_cache_misses,234,4,76.6
perf_cache_misses,133,5,86.7
perf_branches,766,1,0
perf_branches,401,2,47.65013054830287
perf_branches,242,3,68.40731070496084
perf_branches,150,4,80.4177545691906
perf_branches,123,5,83.9425587467363
perf_branch_misses,766,1,0
perf_branch_misses,412,2,46.21409921671018
perf_branch_misses,281,3,63.315926892950394
perf_branch_misses,223,4,70.88772845953002
perf_branch_misses,133,5,82.63707571801567
perf_cpu_clock,250,1,0
perf_cpu_clock,128,2,48.8
perf_cpu_clock,170,3,32.0
perf_cpu_clock,68,4,72.8
