item_name,rank_median_execution_time_median,median_execution_time_median,rank_median_execution_time_mean,median_execution_time_mean,rank_median_execution_time_std,median_execution_time_std,rank_median_execution_time_IQR,median_execution_time_IQR
energy_3,28.0,5.415732319932431,32.63636363636363,6.442371584436883,21.270978949135028,2.9808090712066964,35.5,4.910384868766414
perf_branch_misses_5,28.0,5.491696932469495,30.181818181818183,6.46027413064767,9.620999759049802,3.439050738601052,6.5,6.133872059454177
perf_cache_misses_4,35.0,5.786533492500894,32.0,6.501974791230427,19.83431370126025,3.455171327645447,30.0,5.523302212493945
perf_cache_references_2,24.0,5.472289966477547,28.727272727272727,6.531336918755944,12.985306381375135,3.632582366271557,21.0,6.239180635328395
perf_cycles_3,21.0,5.468640409002546,25.727272727272727,6.5457849246864495,10.306220539954587,3.601635343040284,13.5,6.296441785268328
perf_instructions_5,33.0,5.602859421051107,32.36363636363637,6.54745188526728,19.663533391904554,3.647840774599272,16.5,6.352708268243106
perf_cache_misses_5,37.0,5.63269369507907,35.72727272727273,6.550824130750424,16.547452426829388,3.5769332710435826,22.5,6.275240597751377
perf_cache_misses_3,40.0,5.641228841501288,33.36363636363637,6.575381471287301,19.581995441081723,3.622543721680308,25.5,6.290588393536496
perf_cache_references_4,32.0,5.3372030279715545,33.54545454545455,6.60235010303522,15.654798857625968,3.571878021592259,22.0,6.11962783452509
perf_cycles_4,28.0,5.461905885487795,31.272727272727277,6.615488819627512,14.772209781145872,3.5333161164239497,22.5,6.012161287571871
perf_cache_references_3,36.0,5.618728822038975,34.09090909090909,6.643143533985329,14.362830817457578,3.5064413204829363,17.5,5.880362549945858
perf_branch_misses_4,37.0,5.641371502541006,34.45454545454545,6.647370433769006,11.927813180660037,3.57139193741041,19.5,6.107875880803476
perf_L1_dcache_loads_4,40.0,5.847645396483131,37.27272727272727,6.652930286362965,17.567532035496104,3.6217898521108727,25.0,6.134568693258586
perf_L1_dcache_loads_2,44.0,5.659567366470583,41.54545454545455,6.755715232077643,16.250314682267767,3.576799358131803,18.5,5.873100446166063
perf_branch_misses_3,26.0,8.19865239699999,29.454545454545453,6.801720745867075,19.09640613499637,3.652123479157357,31.0,6.408986805690802
weights_2,38.0,6.591493028499826,36.09090909090909,6.862244524599894,19.85675978328058,2.965046084832334,23.5,4.006937014768482
perf_cache_references_5,29.0,6.267422044998966,31.0,6.893048089261521,16.192590898309017,3.349426803650353,12.5,5.121145749497373
perf_faults_1,55.0,6.80075488507282,41.72727272727273,6.963968573719729,22.213018295994395,3.4023738735348648,33.5,5.244629850439026
weights_4,36.0,7.378538595512509,37.72727272727273,6.9742121744479615,23.44393699484329,2.945011666490388,37.0,4.188857378758257
energy_1,38.0,7.326036623981781,37.27272727272727,7.026001689419411,26.130789919521792,3.635458045121659,50.5,5.387595773194917
perf_L1_dcache_loads_5,44.0,6.157279314473271,40.90909090909091,7.056063599627216,20.09703732122994,3.2787863569594173,27.5,4.702147227537353
weights_5,51.0,6.886312476941384,40.18181818181818,7.132552102902324,21.06569809817933,3.1773819314767358,27.5,4.759751292236615
weights_3,33.0,6.875036467565224,36.72727272727273,7.143039144263887,22.601287171711743,3.0153206716010352,34.5,4.659890303948487
energy_5,46.0,8.30799792893231,40.81818181818182,7.199546102083229,18.28014322601539,3.0675501000959167,22.5,5.150779904201045
energy_2,49.0,7.026036623981781,44.27272727272727,7.216925140913573,17.883461125245912,3.2503817836577844,27.0,4.883513435670466
perf_faults_5,49.0,8.96432984250714,45.45454545454545,7.344595597408804,10.930358057846378,3.899290002371367,16.0,6.445310304260886
perf_faults_2,38.0,7.813019279506989,39.0,7.392274931487071,24.153674668671016,5.372208855982017,42.0,6.409299666971492
weights_1,53.0,7.048667840950657,45.63636363636363,7.462875524027843,21.791157506074462,3.070729777955046,31.5,5.043752823228715
perf_faults_4,50.0,8.977832420991035,44.36363636363637,8.86836405263884,21.30855568673169,6.676320239541626,11.0,6.506014590736385
perf_cpu_clock_3,54.0,9.031741648504976,49.72727272727273,8.907770331517163,19.07926051549645,4.643875022589757,18.0,6.032648749784656
perf_faults_3,52.0,9.016346472519215,51.09090909090909,9.090143806332476,15.80793816697513,6.772171212983428,18.0,6.343921737541677
perf_task_clock_3,59.0,9.059250809979858,52.0,9.523331885303158,19.452506265260528,5.593312281139517,23.0,5.185508442287178
perf_task_clock_5,53.0,9.016460391983856,52.0,10.015375353790624,13.870832707519762,7.158972986229513,18.5,5.9052702924309415
perf_cpu_clock_1,58.0,10.225750320940278,49.72727272727273,10.181324353123998,21.41070250641445,3.922523751876349,21.0,3.193697306251124
perf_cpu_clock_4,63.0,10.50635275800596,57.54545454545455,10.705296983834222,13.0641772520403,2.5175034463241817,5.0,2.4634944279969204
original,61.0,10.281700841034764,46.45454545454545,11.221131790365275,27.96913883680953,4.80091736559233,41.5,4.927204796761089
perf_cpu_clock_2,60.0,9.866194915492088,58.81818181818182,11.369103959450957,8.328483437195294,5.87965221974052,12.5,2.8346826194953536
perf_task_clock_1,66.0,10.44880471000215,63.09090909090909,11.408087948258764,6.5795827444382144,4.119679322378793,7.0,3.5161569317476165
perf_task_clock_2,62.0,10.46117762400536,62.36363636363637,12.240682031806069,5.76667542476126,6.920346074894504,6.0,6.612324232541141
perf_cpu_clock_5,65.0,11.405800599999909,57.63636363636363,12.333986708424938,19.795316250430183,5.106994198629837,10.0,5.506279264722252
perf_task_clock_4,64.0,10.486866640974768,60.0,12.549367268099092,13.107249902248755,5.668193802995648,9.0,3.1923278414506058
