total_decreases,proportion_of_decreases,average_decrease_per_step,average_decrease_percentage_per_step,std_deviation_of_decreases,median_decrease,iqr_decrease,number_of_large_decreases,proportion_of_large_decreases,number_of_retries,item_name
8,0.028070175438596492,1627131.5714285714,0.03254283905188458,1818367.5315954504,835359.0,1652795.5,2,0.2857142857142857,1,perf_cache_misses
13,0.08496732026143791,1012259.4166666666,0.02087159499083631,1415275.5657786347,364657.75,866640.375,3,0.25,2,perf_cache_misses
8,0.09411764705882353,1580406.5238095713,0.03262604704859069,1443537.2573015837,1011726.0,1007841.8333330005,2,0.2857142857142857,3,perf_cache_misses
7,0.09210526315789473,1469446.7083333333,0.030470795336835693,2336045.3302344535,560939.125,883222.75,1,0.16666666666666666,4,perf_cache_misses
10,0.20833333333333334,1107596.4000000001,0.02296986657276283,1641582.154172616,526710.0,606100.0000000075,2,0.2222222222222222,5,perf_cache_misses
9,0.03501945525291829,1322700722.75,0.07662032875812264,1492582959.0799592,628941221.5,1162172221.0,2,0.25,1,perf_branches
13,0.07738095238095238,989880246.4166666,0.059950693704300416,1287000234.9900787,353461960.0,929515585.25,3,0.25,2,perf_branches
12,0.14457831325301204,1013327231.1515152,0.06376846027517175,1360926681.841127,506757086.333333,1235232582.166668,3,0.2727272727272727,3,perf_branches
13,0.21311475409836064,889324436.3958334,0.05806731098944693,1229521211.001463,466675769.0,463732518.3125,2,0.16666666666666666,4,perf_branches
9,0.1836734693877551,1008762215.3500001,0.06472430752291214,1415233966.3599732,603491642.0999999,822434955.2,1,0.125,5,perf_branches
8,0.03375527426160337,5657352.857142857,0.04766084237970341,4739777.723829385,3676540.0,6579996.0,2,0.2857142857142857,1,perf_branch_misses
13,0.09352517985611511,3837082.4166666665,0.03380181492790045,5850904.621324534,1228113.25,2241468.375,2,0.16666666666666666,2,perf_branch_misses
8,0.08695652173913043,4687321.380952286,0.04118278231416015,7118620.902391127,1499639.333333999,3143228.0,1,0.14285714285714285,3,perf_branch_misses
6,0.08,6688696.3,0.05773745775407151,7890895.708445263,3706594.75,3643258.25,1,0.2,4,perf_branch_misses
13,0.2708333333333333,2938602.3666666658,0.02527071071542633,5889489.0908487355,850901.599999994,1274031.2999999933,2,0.16666666666666666,5,perf_branch_misses
4,0.023668639053254437,17.666666666666668,0.33333333333333337,22.17105219775452,3.0,24.0,1,0.3333333333333333,1,perf_cpu_clock
3,0.031914893617021274,18.75,0.3712871287128713,9.75,18.75,9.75,1,0.5,2,perf_cpu_clock
3,0.03409090909090909,12.3333335,0.24666667,11.9999995,12.3333335,11.999999499999998,1,0.5,3,perf_cpu_clock
3,0.0375,13.375,0.23777777777777778,5.125,13.375,5.125,0,0.0,4,perf_cpu_clock
3,0.06382978723404255,5.799999999999999,0.1550802139037433,1.9999999999999982,5.799999999999999,1.9999999999999982,0,0.0,5,perf_cpu_clock
6,0.03821656050955414,17.6,0.2,29.24790590794493,3.0,4.0,1,0.2,1,perf_task_clock
3,0.02702702702702703,12.0,0.41379310344827586,6.0,12.0,6.0,0,0.0,2,perf_task_clock
4,0.06779661016949153,13.666666666666666,0.2847222222222222,10.607474887148287,6.333333,11.3333335,1,0.3333333333333333,3,perf_task_clock
4,0.05714285714285714,15.666666666666666,0.22301304863582444,7.261006970263988,19.5,8.25,0,0.0,4,perf_task_clock
6,0.10344827586206896,8.680000000000001,0.12191011235955058,8.98585555192159,7.199999999999996,5.400000000000002,1,0.2,5,perf_task_clock
